store_id,hub,hub_global,degree,brand_volume,volume_hits,component_volume,component_stores,lon,lat,tier,store_brands,new_energy_related
51,1.0,6.520371856242716,1,677.8307658699325,677.8307658699325,677.8307658699325,1,120.4058931040123,36.20466110700598,T1,广汽丰田|丰田(进口)|广汽丰田新能源,True
124,1.0,6.341589197559855,1,566.6977788117733,566.6977788117733,566.6977788117733,1,120.005840470571,35.8598982852997,T1,凯翼汽车,True
25,1.0,6.116962420963995,3,452.48510340856006,452.48510340856006,452.4851034085601,1,120.3982478953085,36.1340219215606,T1,合创汽车,True
19,0.5773502691896257,5.931798827285407,3,3219.2956046526992,3219.2956046526983,28973.66044187429,3,120.4255315895797,36.10044861235468,T1,华晨宝马|宝马(进口),False
55,0.5773502691896257,5.931798827285407,3,3219.2956046526992,3219.2956046526983,28973.66044187429,3,120.4058931040123,36.20466110700598,T1,华晨宝马|宝马(进口)|宝马M,False
69,0.5773502691896257,5.931798827285407,3,3219.2956046526992,3219.2956046526983,28973.66044187429,3,120.4204851787163,36.13552331433014,T1,华晨宝马|宝马(进口)|宝马M,False
107,0.7071067811865476,5.8411880702696175,4,966.9381314907693,966.9381314907694,3867.752525963077,2,120.0687610223897,36.29845888070025,T1,上汽集团,True
130,0.7071067811865476,5.8411880702696175,4,966.9381314907693,966.9381314907694,3867.752525963077,2,120.0058357095518,35.8597970012708,T1,上汽集团,True
104,0.5,5.798157542234241,5,6793.470180647334,6793.470180647334,108695.52289035734,4,120.4402479897664,36.34786988807974,T1,上汽大众,True
28,0.5,5.798157542234241,5,6793.470180647334,6793.470180647334,108695.52289035734,4,119.9769230280687,35.8862989061457,T1,上汽大众,True
103,0.5,5.798157542234241,5,6793.470180647334,6793.470180647334,108695.52289035734,4,119.9704438199169,36.78458214215858,T1,上汽大众,True
118,0.5,5.798157542234241,5,6793.470180647334,6793.470180647334,108695.52289035734,4,120.5435534827361,36.89212823051913,T1,上汽大众,True
132,1.0,5.759592796222003,2,316.21912978634646,316.21912978634646,316.21912978634646,1,120.4001654182501,36.13401587308186,T1,东风风行,True
116,1.0,5.753729785919983,1,314.36471230691785,314.36471230691785,314.36471230691785,1,120.1731435836658,35.99310333516672,T1,雪佛兰(进口)|上汽通用雪佛兰,True
32,0.7071067811865476,5.474697989003388,2,575.7443115266922,575.7443115266922,2302.9772461067687,2,120.4055256072281,36.09245624597378,T1,上汽通用凯迪拉克,True
33,0.7071067811865476,5.474697989003388,2,575.7443115266922,575.7443115266922,2302.9772461067687,2,120.4328094811605,36.24336518696106,T1,上汽通用凯迪拉克,True
66,0.7071067811865475,5.188878937335952,5,384.228782578514,384.228782578514,1536.9151303140563,2,120.4368048745772,36.2070678507379,T1,东风本田|本田(进口),False
101,0.7071067811865475,5.188878937335952,5,384.228782578514,384.228782578514,1536.9151303140563,2,120.4431849098007,36.35893550063494,T1,东风本田|本田(进口),False
37,0.5,5.014619456485788,5,1417.437719896635,1417.437719896635,22679.00351834616,4,120.4376780275329,36.33930991424812,T1,北京奔驰|奔驰(进口)|梅赛德斯-AMG,False
42,0.5,5.014619456485788,5,1417.437719896635,1417.437719896635,22679.00351834616,4,120.4083868899385,36.20602200355017,T1,北京奔驰|奔驰(进口)|梅赛德斯-AMG,False
38,0.5,5.014619456485788,5,1417.437719896635,1417.437719896635,22679.00351834616,4,120.3941652764267,36.11356896334316,T1,北京奔驰|奔驰(进口)|梅赛德斯-AMG,False
36,0.5,5.014619456485788,5,1417.437719896635,1417.437719896635,22679.00351834616,4,120.0588996939928,35.92265221620887,T1,北京奔驰|奔驰(进口)|梅赛德斯-AMG,False
24,0.5,4.894345892256822,4,1114.3727599601382,1114.3727599601382,17829.96415936221,4,120.4942180051448,36.4244038836283,T1,一汽-大众,True
54,0.5,4.894345892256822,4,1114.3727599601382,1114.3727599601382,17829.96415936221,4,120.4369875000874,36.20817986241806,T1,一汽-大众|奥迪(进口)|Audi Sport,False
75,0.5,4.894345892256822,4,1114.3727599601382,1114.3727599601382,17829.96415936221,4,119.7133386321089,37.00412401651599,T1,一汽-大众,True
17,0.5,4.894345892256822,4,1114.3727599601382,1114.3727599601382,17829.96415936221,4,120.5036141909486,36.37979269614454,T1,一汽-大众,True
53,0.5773502691896257,4.833724764019615,4,480.48743769403615,480.48743769403615,4324.386939246325,3,120.4329809676823,36.25702121780597,T2,沃尔沃亚太|沃尔沃(进口）,False
52,0.5773502691896257,4.833724764019615,4,480.48743769403615,480.48743769403615,4324.386939246325,3,120.4069150163604,36.09871491987568,T2,沃尔沃亚太|沃尔沃(进口）,False
56,0.5773502691896257,4.833724764019615,4,480.48743769403615,480.48743769403615,4324.386939246325,3,120.4058931040123,36.20466110700598,T2,沃尔沃亚太|沃尔沃(进口）,False
67,0.3779644730092272,4.604945996053836,15,3990.678295807618,3990.678295807618,195543.2364945732,7,120.4354625366536,36.2279203300717,T2,长城汽车,True
71,0.3779644730092272,4.604945996053836,15,3990.678295807618,3990.678295807618,195543.2364945732,7,120.4134301567326,36.16595606624971,T2,长城汽车,True
68,0.3779644730092272,4.604945996053836,15,3990.678295807618,3990.678295807618,195543.2364945732,7,119.9625901145043,35.88989652208085,T2,长城汽车,True
65,0.3779644730092272,4.604945996053836,15,3990.678295807618,3990.678295807618,195543.2364945732,7,120.3776197465607,36.41652424646415,T2,长城汽车,True
73,0.3779644730092272,4.604945996053836,15,3990.678295807618,3990.678295807618,195543.2364945732,7,120.4300795307157,36.25943128364363,T2,长城汽车,True
72,0.3779644730092272,4.604945996053836,15,3990.678295807618,3990.678295807618,195543.2364945732,7,116.3408705899161,40.03582822214375,T2,长城汽车,True
70,0.3779644730092272,4.604945996053836,15,3990.678295807618,3990.678295807618,195543.2364945732,7,119.9625901145043,35.88989652208085,T2,长城汽车,True
78,0.447213595499958,4.562659428020104,3,1078.691199673682,1078.691199673682,26967.27999184205,5,120.4003545115599,36.11528986079328,T2,一汽丰田|丰田(进口),False
114,0.447213595499958,4.562659428020104,3,1078.691199673682,1078.691199673682,26967.27999184205,5,119.9908278092271,35.89557014622906,T2,一汽丰田|丰田(进口),False
41,0.447213595499958,4.562659428020104,3,1078.691199673682,1078.691199673682,26967.27999184205,5,120.423692129387,36.31028097662998,T2,一汽丰田|丰田(进口),False
44,0.447213595499958,4.562659428020104,3,1078.691199673682,1078.691199673682,26967.27999184205,5,120.4339563478051,36.2553142273845,T2,一汽丰田|丰田(进口),False
80,0.447213595499958,4.562659428020104,3,1078.691199673682,1078.691199673682,26967.27999184205,5,120.1814115875796,36.01398363617896,T2,一汽丰田|丰田(进口),False
95,0.3742278594855999,4.40866933414014,8,14303.030201131402,22795.773900464646,130705.35535494724,5,119.9928733407039,35.8960454880696,T2,长安汽车|深蓝汽车,True
123,0.4472135954999579,4.339334582272363,3,654.6561783710496,654.6561783710495,16366.404459276238,5,119.9640494118052,35.88442872110176,T2,东风日产|郑州日产,False
110,0.4472135954999579,4.339334582272363,3,654.6561783710496,654.6561783710495,16366.404459276238,5,120.0628215161882,36.27332351397687,T2,东风日产,True
39,0.4472135954999579,4.339334582272363,3,654.6561783710496,654.6561783710495,16366.404459276238,5,120.3932375963266,36.12762251384299,T2,东风日产|日产(进口),False
31,0.4472135954999579,4.339334582272363,3,654.6561783710496,654.6561783710495,16366.404459276238,5,120.1771405042019,35.99794831015929,T2,东风日产|郑州日产,False
111,0.4472135954999579,4.339334582272363,3,654.6561783710496,654.6561783710495,16366.404459276238,5,120.0598093415081,36.28399763371413,T2,东风日产|日产(进口),False
92,0.2236067977499789,3.474621444819835,18,14009.833681360038,14009.833681360027,5603933.472544015,20,119.9928733407039,35.8960454880696,T2,比亚迪,True
91,0.2236067977499789,3.474621444819835,18,14009.833681360038,14009.833681360027,5603933.472544015,20,119.9928733407039,35.8960454880696,T2,比亚迪,True
120,0.2236067977499789,3.474621444819835,18,14009.833681360038,14009.833681360027,5603933.472544015,20,119.9670518183112,35.8903014290476,T2,比亚迪,True
8,0.2236067977499789,3.474621444819835,18,14009.833681360038,14009.833681360027,5603933.472544015,20,120.4410049019891,36.17299423190696,T2,比亚迪,True
13,0.2236067977499789,3.474621444819835,18,14009.833681360038,14009.833681360027,5603933.472544015,20,120.3854129960125,36.09450286332107,T2,比亚迪,True
12,0.2236067977499789,3.474621444819835,18,14009.833681360038,14009.833681360027,5603933.472544015,20,120.4366006820976,36.33859957471895,T2,比亚迪,True
